City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
439,lebu,-37.6167,-73.65,287.69,83,86,6.88,CL,1704331841
440,gumdag,39.2061,54.5906,281.92,84,69,6.56,TM,1704331842
441,kapa'a,22.0752,-159.319,300.14,75,40,2.57,US,1704331842
442,luba,3.4568,8.5547,297.09,79,13,2.59,GQ,1704331842
443,mpulungu,-8.7623,31.1141,294.44,96,100,2.27,ZM,1704331843
444,turpan,42.9333,89.1667,270.13,60,6,0.2,CN,1704331843
445,lhokseumawe,5.1801,97.1507,300.17,73,79,1.42,ID,1704331843
446,crookston,47.7741,-96.6081,265.21,67,100,3.09,US,1704331844
447,urumqi,43.801,87.6005,258.68,85,100,1.0,CN,1704331844
448,atbara,17.7022,33.9864,290.69,37,3,4.82,SD,1704331844
449,salinopolis,-0.6136,-47.3561,298.96,90,100,4.77,BR,1704331845
450,camana,-16.6228,-72.7111,294.9,83,93,2.3,PE,1704331845
451,luwuk,-0.9516,122.7875,303.03,73,67,1.06,ID,1704331846
452,zdvinsk,54.7021,78.661,242.47,100,81,2.13,RU,1704331846
453,iguape,-24.7081,-47.5553,297.13,91,99,5.4,BR,1704331846
454,antsiranana,-12.2787,49.2917,300.44,78,73,5.29,MG,1704331846
455,tarko-sale,64.9225,77.785,250.93,92,100,8.43,RU,1704331846
456,roxas,11.5853,122.7511,298.79,79,46,3.7,PH,1704331846
457,san antonio de pale,-1.4014,5.6325,300.06,77,100,4.58,GQ,1704331847
458,adam,22.3756,57.5233,288.83,55,9,1.35,OM,1704331847
459,stjordalshalsen,63.4681,10.9262,264.15,53,33,7.72,NO,1704331847
460,alta,69.9689,23.2717,251.74,71,91,3.6,NO,1704331848
461,ancud,-41.8697,-73.8203,286.85,85,100,2.09,CL,1704331848
462,gunjur,13.2019,-16.7339,296.19,78,0,2.57,GM,1704331848
463,nikol'sk,53.7189,46.0712,248.68,100,92,2.63,RU,1704331849
464,kenora,49.8167,-94.4337,262.69,67,75,1.54,CA,1704331849
465,nazareth,32.7036,35.2956,285.73,89,94,0.88,IL,1704331849
466,cadale,2.7603,46.3222,298.03,75,100,7.53,SO,1704331849
467,tadine,-21.55,167.8833,300.38,66,90,5.33,NC,1704331849
468,kimbe,-5.5502,150.1429,305.07,63,99,2.49,PG,1704331850
469,carbonear,47.7332,-53.2148,273.9,86,100,1.96,CA,1704331851
470,san juan,-31.5375,-68.5364,303.94,29,26,8.61,AR,1704331720
471,bata,1.8639,9.7658,299.54,87,77,3.65,GQ,1704331851
472,colonia,50.9333,6.95,282.36,83,75,7.2,DE,1704331554
473,balsas,-7.5325,-46.0356,296.75,93,100,1.67,BR,1704331851
474,rey bouba,8.6724,14.1786,295.05,24,19,0.94,CM,1704331852
475,redencao,-4.2258,-38.7306,297.66,94,57,1.0,BR,1704331852
476,korem,12.5058,39.5228,281.15,87,1,0.16,ET,1704331852
